aligner,read_length,mapq,step,count
graph_19_5,70,5,post_surject,91128
graph_19_5,70,10,post_surject,90737
graph_19_5,70,15,post_surject,90431
graph_19_5,70,20,post_surject,88090
graph_19_5,70,25,post_surject,85565
graph_19_5,70,30,post_surject,84566
graph_19_5,70,35,post_surject,83649
graph_19_5,70,40,post_surject,82761
graph_19_5,70,45,post_surject,81699
graph_19_5,70,50,post_surject,80156
graph_19_5,70,55,post_surject,79185
graph_19_5,70,60,post_surject,78206
bwa_aln,70,0,post_surject,89671
bwa_aln,70,20,post_surject,78504
bwa_aln,70,30,post_surject,74605
graph_15_5,30,0,post_lift,88022
graph_15_5,30,5,post_lift,72485
graph_15_5,30,10,post_lift,69621
graph_15_5,30,15,post_lift,67695
graph_15_5,30,20,post_lift,60445
graph_15_5,30,25,post_lift,51538
graph_15_5,30,30,post_lift,35774
graph_15_5,30,35,post_lift,23091
graph_15_5,30,40,post_lift,20945
graph_15_5,30,45,post_lift,19186
graph_15_5,30,50,post_lift,17185
graph_15_5,30,55,post_lift,13124
graph_15_5,30,60,post_lift,8494
graph_19_5,30,0,post_lift,76370
graph_19_5,30,5,post_lift,64662
graph_19_5,30,10,post_lift,63706
graph_19_5,30,15,post_lift,62112
graph_19_5,30,20,post_lift,56961
graph_19_5,30,25,post_lift,49927
graph_19_5,30,30,post_lift,41899
graph_19_5,30,35,post_lift,36288
graph_19_5,30,40,post_lift,34760
graph_19_5,30,45,post_lift,27524
graph_19_5,30,50,post_lift,18562
graph_19_5,30,55,post_lift,5684
graph_19_5,30,60,post_lift,105
bwa_aln,30,0,post_lift,87432
bwa_aln,30,20,post_lift,64358
bwa_aln,30,30,post_lift,56511
graph_15_5,40,0,post_lift,91573
graph_15_5,40,5,post_lift,79082
graph_15_5,40,10,post_lift,77782
graph_15_5,40,15,post_lift,76883
graph_15_5,40,20,post_lift,72343
graph_15_5,40,25,post_lift,67697
graph_15_5,40,30,post_lift,63166
graph_15_5,40,35,post_lift,57493
graph_15_5,40,40,post_lift,54105
graph_15_5,40,45,post_lift,50808
graph_15_5,40,50,post_lift,47362
graph_15_5,40,55,post_lift,43874
graph_15_5,40,60,post_lift,40180
graph_19_5,40,0,post_lift,90967
graph_19_5,40,5,post_lift,78367
graph_19_5,40,10,post_lift,77221
graph_19_5,40,15,post_lift,76110
graph_19_5,40,20,post_lift,70971
graph_19_5,40,25,post_lift,65368
graph_19_5,40,30,post_lift,58386
graph_19_5,40,35,post_lift,49795
graph_19_5,40,40,post_lift,47261
graph_19_5,40,45,post_lift,43785
graph_19_5,40,50,post_lift,39843
graph_19_5,40,55,post_lift,32697
graph_19_5,40,60,post_lift,24994
bwa_aln,40,0,post_lift,85100
bwa_aln,40,20,post_lift,64352
bwa_aln,40,30,post_lift,56338
graph_15_5,50,0,post_lift,93565
graph_15_5,50,5,post_lift,84611
graph_15_5,50,10,post_lift,83942
graph_15_5,50,15,post_lift,83437
graph_15_5,50,20,post_lift,80101
graph_15_5,50,25,post_lift,76798
graph_15_5,50,30,post_lift,74935
graph_15_5,50,35,post_lift,72968
graph_15_5,50,40,post_lift,71371
graph_15_5,50,45,post_lift,69671
graph_15_5,50,50,post_lift,67387
graph_15_5,50,55,post_lift,65508
graph_15_5,50,60,post_lift,63374
graph_19_5,50,0,post_lift,93994
graph_19_5,50,5,post_lift,84481
graph_19_5,50,10,post_lift,83755
graph_19_5,50,15,post_lift,83103
graph_19_5,50,20,post_lift,79438
graph_19_5,50,25,post_lift,75771
graph_19_5,50,30,post_lift,72950
graph_19_5,50,35,post_lift,69275
graph_19_5,50,40,post_lift,67277
graph_19_5,50,45,post_lift,65023
graph_19_5,50,50,post_lift,62344
graph_19_5,50,55,post_lift,59516
graph_19_5,50,60,post_lift,56552
bwa_aln,50,0,post_lift,87980
bwa_aln,50,20,post_lift,71142
bwa_aln,50,30,post_lift,65792
graph_15_5,60,0,post_lift,94754
graph_15_5,60,5,post_lift,87909
graph_15_5,60,10,post_lift,87422
graph_15_5,60,15,post_lift,87050
graph_15_5,60,20,post_lift,84283
graph_15_5,60,25,post_lift,81422
graph_15_5,60,30,post_lift,80151
graph_15_5,60,35,post_lift,78978
graph_15_5,60,40,post_lift,78006
graph_15_5,60,45,post_lift,76732
graph_15_5,60,50,post_lift,75095
graph_15_5,60,55,post_lift,73899
